Sold-to party,Purchase order date,Sale Amount,Product Name/ID
1021370,10/2/2019,36.27,209746-101
1040584,10/3/2019,2262,20350513
1010228,10/3/2019,117,21210892
1040584,10/3/2019,2262,20350820
1010228,10/3/2019,65.5,21210892
1010228,10/3/2019,78.6,21210892
1039552,10/3/2019,85.05,209747-101
1010228,10/3/2019,70.74,21210892
1039785,10/2/2019,491.37,20952003
1010228,10/3/2019,31.44,21210892
1005696,10/3/2019,60.48,21267538
1010228,10/3/2019,39.3,21210892
1021259,10/2/2019,92.49,206110-101
1007429,10/3/2019,235.34,2200-48450-019
1005696,10/3/2019,13.44,21267538
1010228,10/3/2019,13.1,21210892
1010228,10/3/2019,52.4,21210892
1016602,10/3/2019,7951.58,10301
1005696,10/3/2019,63.84,21267538
1010228,10/3/2019,39.3,21210892
1010228,10/3/2019,31.44,21210892
1016602,10/3/2019,7951.58,10070H
1005696,10/3/2019,139.4,21210874
1010228,10/3/2019,13.1,21210892
1010228,10/3/2019,39.3,21210892
1016602,10/3/2019,7951.58,10338
1005696,10/3/2019,84.05,21210874
1015820,10/3/2019,389503.08,238124
1010228,10/3/2019,26.2,21210892
1015820,10/3/2019,389503.08,295884
1019337,10/3/2019,46.54,207576-01
1015820,10/3/2019,389503.08,238124
1008036,10/3/2019,531,21210874
1015820,10/3/2019,389503.08,292088
1010228,10/3/2019,78.6,21210892
1015820,10/3/2019,389503.08,295889J
1015820,10/3/2019,389503.08,295878J
1015820,10/3/2019,389503.08,189960
1010228,10/3/2019,79.04,21210892
1041900,10/3/2019,328.94,21210892
1014649,10/3/2019,88.5,21210874
1015820,10/3/2019,389503.08,293116
1010228,10/3/2019,26.2,21210892
1041900,10/3/2019,328.94,21210892
1015820,10/3/2019,389503.08,293164J
1015820,10/3/2019,389503.08,283774
1010228,10/3/2019,65.5,21210892
1015820,10/3/2019,389503.08,283774
1015820,10/3/2019,389503.08,283774
1015820,10/3/2019,389503.08,285769J
1010228,10/3/2019,39.15,21210892
1041900,10/3/2019,328.94,21210892
1015820,10/3/2019,389503.08,238125
1015820,10/3/2019,389503.08,238125
1015820,10/3/2019,389503.08,251835J
1010228,10/3/2019,249.6,21210892
1010721,10/3/2019,226.98,21210892
1015820,10/3/2019,389503.08,295227J
1010721,10/3/2019,186.2,21210874
1015820,10/3/2019,389503.08,295955J
1007365,10/3/2019,78.6,21210892
1014635,10/3/2019,33.93,21210892
1014600,10/3/2019,117,21210892
1007365,10/3/2019,118,21210874
1008003,10/3/2019,28.71,21210892
1007365,10/3/2019,133,21210874
1015820,10/3/2019,389503.08,295955J
1007365,10/3/2019,26.2,21210892
1015820,10/3/2019,389503.08,292613
1007365,10/3/2019,64.8,21267538
1015820,10/3/2019,389503.08,293692
1007365,10/3/2019,26.2,21210892
1015820,10/3/2019,389503.08,285775
1014946,10/3/2019,45.52,21210876
1015820,10/3/2019,389503.08,292613
1007429,10/4/2019,622.95,2200-48450-025
1015820,10/3/2019,389503.08,292082J
1007365,10/3/2019,73.75,21210874
1015820,10/3/2019,389503.08,253615
1007429,10/4/2019,622.95,2200-48450-025
1009396,10/3/2019,260,21210892
1015820,10/3/2019,389503.08,291998
1007365,10/3/2019,44.37,21210892
1015820,10/3/2019,389503.08,292473J
1015820,10/3/2019,389503.08,249964
1015820,10/3/2019,389503.08,293170
1011087,10/3/2019,36.64,21267538
1015820,10/3/2019,389503.08,293686J
1015820,10/3/2019,389503.08,291992J
1015820,10/3/2019,389503.08,295911J
1010291,10/3/2019,113.8,21210876
1015820,10/3/2019,389503.08,296065J
1011087,10/3/2019,13.74,21267538
1015820,10/3/2019,389503.08,295917
1007322,10/3/2019,117,21210969
1015820,10/3/2019,389503.08,252012J
1036068,10/3/2019,293.4,21267538
1015820,10/3/2019,389503.08,295961
1036068,10/3/2019,293.4,21210892
1015820,10/3/2019,389503.08,295961
1011009,10/3/2019,70.2,21210892
1008343,10/3/2019,14.75,21210874
1007677,10/3/2019,236,21210892
1015820,10/3/2019,389503.08,295257
1015820,10/3/2019,389503.08,257888
1010577,10/3/2019,140.94,21210892
1011087,10/3/2019,6.87,21267538
1015820,10/3/2019,389503.08,252223
1015820,10/3/2019,389503.08,292587J
1010624,10/3/2019,175.5,21210892
1015820,10/3/2019,389503.08,283780
1011087,10/3/2019,9.16,21267538
1015820,10/3/2019,389503.08,283780
1039952,10/3/2019,325.76,20952156
1015820,10/3/2019,389503.08,283780
1010577,10/3/2019,26.1,21210892
1010577,10/3/2019,128.7,21210892
1015820,10/3/2019,389503.08,292480
1019337,10/3/2019,18.36,209744-101
1015820,10/3/2019,389503.08,285757
1011087,10/3/2019,2.29,21267538
1010577,10/3/2019,79.65,21210874
1015820,10/3/2019,389503.08,293728
1010435,10/3/2019,14.16,21210874
1011087,10/3/2019,2.29,21267538
1015820,10/3/2019,389503.08,295233
1015820,10/3/2019,389503.08,249956J
1021278,10/3/2019,743.09,209747-101
1015718,10/3/2019,1687.29,271632
1015820,10/3/2019,389503.08,292606J
1021693,10/3/2019,322300.22,10094
1015820,10/3/2019,389503.08,292606J
1015820,10/3/2019,389503.08,291736
1011087,10/3/2019,4.58,21267538
1015820,10/3/2019,389503.08,291736
1021693,10/3/2019,322300.22,10094
1011087,10/3/2019,4.58,21267538
1041583,10/3/2019,2447.82,207326-02
1015820,10/3/2019,389503.08,291736
1015820,10/3/2019,389503.08,291736
1015820,10/3/2019,389503.08,295895
1011087,10/3/2019,29.77,21267538
1005696,10/3/2019,97.44,21267538
1015820,10/3/2019,389503.08,285751J
1015820,10/3/2019,389503.08,294100J
1016905,10/3/2019,2532.56,275624
1015820,10/3/2019,389503.08,294100J
1019337,10/3/2019,20.76,209745-101
1038687,10/3/2019,14.75,21210874
1015820,10/3/2019,389503.08,284959
1007531,10/3/2019,1317.2,21210874
1015820,10/3/2019,4193.65,255737J
1015820,10/3/2019,389503.08,284959
1019900,10/3/2019,24179.85,20952005
1038687,10/3/2019,8.85,21210874
1015820,10/3/2019,4193.65,255737J
1015820,10/3/2019,389503.08,293110J
1019900,10/3/2019,24179.85,20952065
1015820,10/3/2019,4193.65,255737J
1038687,10/3/2019,44.25,21210874
1007531,10/3/2019,59,21210874
1015820,10/3/2019,389503.08,291920J
1007677,10/3/2019,243,21267538
1015820,10/3/2019,4193.65,255737J
1010228,10/3/2019,18.34,21210892
1007391,10/3/2019,76.7,21210874
1015820,10/3/2019,389503.08,294286
1015820,10/3/2019,4193.65,255737J
1015820,10/3/2019,389503.08,295251J
1010228,10/3/2019,26.2,21210892
1015820,10/3/2019,4193.65,234375J
1015820,10/3/2019,389503.08,291926
1010228,10/3/2019,91.7,21210892
1015820,10/3/2019,4193.65,252535
1015820,10/3/2019,389503.08,253609
1021258,10/3/2019,36.74,209747-101
1015820,10/3/2019,4193.65,230168J
1010228,10/3/2019,26.2,21210892
1015820,10/3/2019,389503.08,253617
1015820,10/3/2019,4193.65,255557J
1005618,10/3/2019,382.2,21210874
1015820,10/3/2019,389503.08,252217
1020438,10/3/2019,13133.7,230192
1015820,10/3/2019,389503.08,294106
1015820,10/3/2019,389503.08,294106
1034973,10/3/2019,29.25,21267538
1015820,10/3/2019,389503.08,295988J
1015820,10/3/2019,389503.08,295988J
1020438,10/3/2019,13133.7,230222
1034973,10/3/2019,29.25,21210874
1015820,10/3/2019,389503.08,293722J
1020438,10/3/2019,13133.7,262690
1015820,10/3/2019,389503.08,294280J
1019338,10/3/2019,173.37,26716-01
1015820,10/3/2019,389503.08,296071
1015820,10/3/2019,389503.08,291729J
1019900,10/3/2019,475.6,20952065
1010228,10/3/2019,39.15,21210892
1039952,10/3/2019,6137.84,20350820
1021948,10/3/2019,299.28,209745-101
1015820,10/3/2019,389503.08,291729J
1010228,10/3/2019,39.3,21210892
1015820,10/3/2019,389503.08,291729J
1025859,10/3/2019,4224.26,2520-52757-001
1039952,10/3/2019,6137.84,20351207
1010228,10/3/2019,708,21210874
1025859,10/3/2019,4224.26,2200-69631-001
1015820,10/3/2019,389503.08,291729J
1042125,10/3/2019,107.2,207576-01
1042125,10/3/2019,107.2,207576-01
1010228,10/3/2019,31.44,21210892
1039952,10/3/2019,6137.84,20351072
1015820,10/3/2019,16320,188626
1015820,10/3/2019,389503.08,295994
1010228,10/3/2019,52.4,21210892
1010228,10/3/2019,39.3,21210892
1039952,10/3/2019,6137.84,20351489
1005696,10/3/2019,15.49,21210874
1015820,10/3/2019,389503.08,295994
1010228,10/3/2019,26.2,21210892
1010228,10/3/2019,5.24,21210892
1039952,10/3/2019,6137.84,203512851
1005696,10/3/2019,15.49,21267538
1015820,10/3/2019,389503.08,284960
1010228,10/3/2019,65.5,21210892
1015820,10/3/2019,389503.08,292594
1039952,10/3/2019,6137.84,203504351
1010228,10/3/2019,78.6,21210892
1005696,10/3/2019,40.44,21267538
1015820,10/3/2019,389503.08,293200J
1010228,10/3/2019,65.5,21210892
1015820,10/3/2019,389503.08,284960
1039952,10/3/2019,6137.84,20351063
1010228,10/3/2019,26.2,21210892
1005696,10/3/2019,84,21267538
1015820,10/3/2019,389503.08,257876
1010228,10/3/2019,15.72,21210892
1020438,10/3/2019,230451.19,2215-63885-001
1007815,10/3/2019,117.45,21210892
1039952,10/3/2019,6137.84,20350823
1005696,10/3/2019,45.1,21210874
1014635,10/3/2019,26.1,21210892
1015820,10/3/2019,29500,198429
1039952,10/3/2019,6137.84,20350247
1010721,10/3/2019,133,21210874
1005696,10/3/2019,24.6,21210874
1041658,10/3/2019,186.2,21210874
1007421,10/4/2019,442.5,21210874
1036424,10/4/2019,78.3,21210892
1014415,10/3/2019,789.24,21210874
1039952,10/3/2019,6137.84,20350244
1005745,10/3/2019,223.85,21210969
1014415,10/3/2019,789.24,21267538
1039952,10/3/2019,6137.84,20350236
1014415,10/3/2019,789.24,21210892
1007365,10/3/2019,312,21210892
1020495,9/24/2019,12,2200-44514-002
1039952,10/3/2019,6137.84,203512881
1039952,10/3/2019,6137.84,20350436
1007322,10/3/2019,531,21210874
1007429,10/7/2019,1000.16,2200-48500-025
1021104,10/3/2019,155.75,203946-02
1007368,10/3/2019,425.25,21267538
1007429,10/7/2019,1000.16,2200-48500-025
